0,PSRJ,NAME,RAJ,e_RAJ_stat,DECJ,e_DECJ_stat,RAJD,DECJD,Gl,Gb,F0,F1,P0,P1,P1corr,e_P1corr_syst,EDOT,EDOTcorr,e_EDOTcorr_syst,OneMxi,PMRA,e_PMRA_stat,PMDEC,e_PMDEC_stat,PMTOT,e_PMTOT_stat,UsePM,PMRAatnfRef,PMref,Age,B_S,B_LC,sqEDOTD2,e_sqEDOTD2_syst,DM,e_DM_stat,DMatnfRef,S1400,S1400Ref,Type,ASSOC,PC2,PSR_Code,CHAR_Code,StartFinish,History,GalaMSPwho,GalaMSPwhen,PX,e_PX_stat,PXatnfRef,D3PC,e_D3PC_stat,D3PCref,D3PCmeth,DISTDM,NPEAK,RADLAG,e_RADLAG_stat,PKSEP,e_PKSEP_stat,PHI1,e_PHI1_stat,logWIDTH1,logWIDTH2,P2P1slope,e_P2P1slope_stat,DeltaCutoff,e_DeltaCutoff_stat,UNCERTAINP1P2,COMPLEX,PulseFraction,WHtests,YearsData,FGLname,Nellipses,SpectrumType,TSDC,SigAvg,Pivot_Energy,TSband,bfr,e_bfr_stat,G100,e_G100_stat,Gamma100,e_Gamma100_stat,Epeak,e_Epeak_stat,d,e_d_stat,LUMG,e_LUMG_stat,e_LUMG_syst,EFFG,e_EFFG_stat,e_EFFG_syst
0,J0002+6216,J0002+6216,00:02:58.155313761857251,*,+62:16:09.473460922961294,*,0.7423138073410719,62.26929818358971,117.32659759542176,-0.07379736694885271,8.66822621009907,-4.48342480949525e-13,0.1153638559680102,5.966909047244421e-15,5.966909047244421e-15,*,1.5342631835751995e+35,*,*,*,*,0,*,0,*,0,*,*,*,306304.4846652496,839504048319.1035,5033.3626642900745,7792558594249062,"(2381059597344197.0,4383314299982420.0)",218.6,0.6,wcp+18,0.022,wu18,"[ATNF,TIMED,PUB_LATG,EDOT35,EDOTD215]","GRS:4FGL_J0002.8+6217[aab+22],XRS:1XSPS_J000257.6+621609[wcp+18]",N,GU,r,"(54681.0,58046.0)","[ATNF,LATDetected,4FGL,delDel,Radio,Distances,CENBGTimed]",*,*,*,0,*,2,"(0.4000000059604645,0.4000000059604645)",122,O,6.357,2,0.162182,"(0.00891,0.014949)",0.432877,"(0.008874,0.01493)",0.161902,"(0.007909,0.014649)",-0.6103209283239288,-1.344218107009561,*,*,*,*,N,N,"( 0.475, 0.305, 0.058)","(2.9, 15.9, 317.9, 474.4, 174.0, 4.1, 1043.9)",9.2,4FGL J0002.8+6217,0.6876458515387329,PLSuperExpCutoff4,1065.2913818359375,32.33150863647461,1307.461181640625,1.4661104679107666,0.8521767854690552,0.3881741166114807,1.8818150163135705e-11,1.4394477363538494e-12,1.6209211349487305,0.3026735186576843,824.3474731445312,155.0485382080078,0.6504971385002136,0.09229769557714462,9006345985678979381114569937125376,"(6.889181045702178e+32,6.889181045702178e+32)","(3.2422845977900365e+33,3.962792298117157e+33)",0.058701441070182256,"(0.00449022118203263,0.00449022118203263)","(0.021132519065175895,0.025828634490745614)"
1,J0007+7303,J0007+7303,00:07:01.56,4.166666666666667e-05,+73:03:08.1,2.777777777777778e-05,1.7565,73.05225,119.65945958724663,10.463297321558201,3.1656430195994067,-3.566791191695704e-12,0.315891587841305,3.559211591664925e-13,3.559211591664925e-13,*,4.457582208363405e+35,*,*,*,*,0,*,0,*,0,*,*,*,14061.034165416992,10728997347901.484,3133.211233455575,27107142903189132,"(8723059826977820.0,1.6801948080489116e+16)",*,0,*,<0.0048329998,rtk+11,"[ATNF,TIMED,PUB_LATG,EDOT35,EDOTD216]","GRS:4FGL_J0007.0+7303[aab+22],XRS:RX_J0007.0+7303[cdm+10],SNR:CTA1[hgc+04]",Y,G,q,"(54686.1556915,58123.1577802)","[ATNF,LATDetected,4FGL,delDel,Radio,Distances,CENBGTimed]",*,*,*,0,*,1.4,"(0.2999999999999998,0.30000000000000004)",1,K,*,3,*,"(0.0,0.0)",0.238348,"(0.001266,0.001403)",0.155102,"(0.000999,0.001201)",-0.9847355819899486,-0.9756289356149151,*,*,*,*,N,N,"( 0.417, 0.360, 0.318)","(614.7, 9403.0, 35794.4, 37256.6, 18768.8, 2026.7, 97273.3)",9.2,4FGL J0007.0+7303,0.4811888209941194,PLSuperExpCutoff4,137669.28125,370.99151611328125,2213.56591796875,18.01445770263672,0.556814968585968,0.04077547416090965,4.3165254703936284e-10,3.251733084186359e-12,1.2366926670074463,0.04210294410586357,2440.91015625,31.718185424804688,0.36197397112846375,0.0073122261092066765,101228332953118134413844724347568128,"(7.625751813081955e+32,7.625751813081955e+32)","(3.873533148716254e+34,4.803181104408155e+34)",0.22709246452749993,"(0.0017107372240436455,0.0017107372240436455)","(0.08689762673246168,0.10775305714825249)"
2,J0023+0923,J0023+0923,00:23:16.8795070,1.2083333333333335e-07,+09:23:23.87302,2.825e-07,5.820331279166667,9.389964727777777,111.38308506782505,-52.849262542302476,327.84701556741425,-1.2278919155410523e-15,0.0030499999,1.085e-20,8.877168104456352e-21,"(4.684252477951466e-22,7.3312265500048255e-22)",1.5892459423708372e+34,12351926691412872232084076987678720,"(6.517792896439576e+32,1.020086268934579e+33)",0.818172175525931,-12.44,0.07,-6.16,0.16,13.88,0.1,Y,aab+21a,*,4453516818.232261,184067869.49802348,59720.471765043185,3102485064905745,"(1223281895556371.8,1528656905399053.0)",14.3216,0.0006,sbm+22,0.73000002,sbm+22,"[ATNF,NEWMSP,PTC,TIMED,PUB_LATMSP,EDOTD215]","GRS:4FGL_J0023.4+0920[aab+22],OPT:[bvr+13]",Y,RUP,mbwr,"(55841.962404168488323,57974.156054559113326)","[ATNF,LATDetected,4FGL,delDel,Radio,GalaMSPs,Distances,PTC,PTC_LAT,CENBGTimed]",GBT-Fermi,2009,0.55,0.13,aab+21a,1.798200011253357,"(0.3264000117778778,0.5123000144958496)",135,P,1.247,2,0.320905,"(0.022254,0.01834)",0.280312,"(0.026759,0.02646)",0.320911,"(0.022224,0.018295)",-1.2015661644546505,-0.7917367807845235,*,*,*,*,N,N,"( 0.360, 0.340, 0.320)","(0.4, 4.3, 18.5, 70.3, 33.2, 2.3, 132.4)",5.8,4FGL J0023.4+0920,1.2309499853540313,PLSuperExpCutoff4,804.797119140625,28.029922485351562,954.247314453125,2.6102874279022217,*,*,7.828539032306292e-12,5.52974170359849e-13,*,*,1277.1998291015625,149.1782684326172,0.5420125722885132,0.11049170792102814,3028784813063510601972149110439936,"(2.139402719065062e+32,2.139402719065062e+32)","(9.997475458850149e+32,1.9716109933123753e+33)",0.19057999346187848,"(0.013461747247713598,0.013461747247713598)","(0.06290703781150396,0.12405952664388281)"
3,J0030+0451,J0030+0451,00:30:27.4272572,1.6666666666666668e-07,+04:51:39.70757,3.880555555555556e-07,7.614280238333333,4.861029880555555,113.14114748841877,-57.61133245889715,205.53069590132813,-4.298048950616589e-16,0.0048699998,1.0174614698671037e-20,1.053705702312126e-20,"(8.608397440030305e-24,8.765153148389054e-24)",3.487448369953995e+33,3601573124509218866099724396527616,"(2.9423559915331323e+30,2.995935197292336e+30)",1.0356222161904138,-6.33,0.12,0.8,0.28,6.38,0.13,Y,aab+21a,*,7583051076.175741,225235406.4714137,17951.244039527122,45749673447227296,"(1666008373623928.0,1671753682674384.0)",4.33294,0.00011,sbm+22,1.09,sbm+22,"[ATNF,TIMED,PUB_LATMSP,EDOTD216]",GRS:4FGL_J0030.4+0451[aab+22],Y,R,mrx,"(53331.842825977563674,57976.132911915063676)","[ATNF,LATDetected,4FGL,delDel,Radio,GalaMSPs,Distances,CENBGTimed]",AO-430,2000,3.09,0.06,aab+21a,0.320499986410141,"(0.00570000009611249,0.006000000052154064)",135,P,0.345,5,0.126613,"(0.001439,0.001436)",0.448487,"(0.000407,0.00037)",0.126631,"(0.000363,0.000316)",-1.4189923423631168,-1.8422634244365788,*,*,*,*,N,N,"( 0.278, 0.072, 0.034)","(6.9, 817.8, 5549.1, 7631.5, 2894.4, 73.2, 16098.4)",11.4,4FGL J0030.4+0451,0.3060452824400398,PLSuperExpCutoff4,17947.16015625,133.86077880859375,1359.8148193359375,13.118520736694336,0.5292720198631287,0.10872062295675278,6.044326150700385e-11,1.0923426876571773e-12,0.8823051452636719,0.14543823897838593,1423.028076171875,34.5130615234375,0.5836679339408875,0.02696670964360237,742874801556065224505124617977856,"(1.342538170661944e+31,1.342538170661944e+31)","(2.618866112707674e+31,2.807469927648292e+31)",0.21301384931065373,"(0.003849628806632782,0.003849628806632782)","(0.007509404684727192,0.008050212160374798)"
4,J0034-0534,J0034-0534,00:34:21.8357056,5.416666666666666e-07,-05:34:36.74918,1.1872222222222222e-06,8.590982106666667,-5.576874772222222,111.4921949913903,-68.068584963421,532.7134292733233,-1.412449804007638e-15,0.00188,4.977207334444754e-21,4.472542515917632e-21,"(3.728364446182079e-22,3.7005497173140586e-22)",2.970478439831149e+34,26573004837054364734023623694614528,"(2.2151571753671952e+33,2.198631431405662e+33)",0.8986048230230254,7.9,0.3,-9.2,0.6,12.1,0.5,Y,dcl+16,*,5984186590.535679,97877979.31432396,135598.9000166815,7547855093972303,"(3696908617455821.0,1.341840905595076e+16)",13.76517,4e-05,aaa+10b,0.20999999,sbm+22,"[ATNF,TIMED,PUB_LATMSP,EDOTD215]",GRS:4FGL_J0034.3-0534[aab+22],Y,R,mbr,"(53761.650594522658754,57920.267492876289225)","[ATNF,LATDetected,4FGL,delDel,Radio,GalaMSPs,CENBGTimed]",PKS-SSS,1994,*,0,*,1.348,"(0.5392,0.5392)","aaa+10b,ymw17",DM,1.348,2,0.838797,"(0.003601,0.003529)",0.31914,"(0.005872,0.005739)",0.838808,"(0.003109,0.00301)",-1.375935448374742,-0.7413288850791647,*,*,*,*,N,N,"( 0.405, 0.335, 0.185)","(12.4, 129.0, 564.2, 469.0, 165.2, 7.9, 1353.3)",11.4,4FGL J0034.3-0534,0.2950970064758911,PLSuperExpCutoff4,3928.203125,62.48451232910156,762.7994995117188,10.690314292907715,0.6548450589179993,0.23336124420166016,2.0150337995405998e-11,6.27218654618289e-13,1.5406156778335571,0.1565319001674652,986.2034912109375,85.44361877441406,0.31681063771247864,0.03372827544808388,4381005771164998780031177601318912,"(1.3636736745019075e+32,1.3636736745019075e+32)","(2.8038436935455996e+33,4.2057655403184e+33)",0.14748485336301678,"(0.004590754325015141,0.004590754325015141)","(0.09439030615233075,0.14158545922849614)"
5,J0101-6422,J0101-6422,1:01:11.11661822,0,-64:22:30.16803757,2.7777777777777777e-10,15.296319242583333,-64.37504667710277,301.1922591991576,-52.72026618952782,388.6284256880326,-7.682205410140111e-16,0.00257,4.8e-21,3.444678109758289e-21,"(7.665519079492902e-22,7.6329542575907345e-22)",1.17863739329919e+34,8011410991098656174953282093973504,"(1.7827971685352947e+33,1.7752234515203108e+33)",0.7176412728663102,-13.15,0.52,-11.22,0.56,17.286147633292966,0.537215104595228,Y,kcj+12,LAT,8482520067.596112,112382938.70606706,60946.07388623437,8622080805126486,"(4223059986184401.5,1.5328143653558194e+16)",11.921,0.0004,sbm+22,0.156,sbm+22,"[ATNF,NEWMSP,PTC,TIMED,PUB_LATMSP,EDOTD215]","GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15]",Y,RUP,mbr,"(54682,58193)","[ATNF,LATDetected,4FGL,delDel,PM,Radio,GalaMSPs,PTC,PTC_LAT,CENBGTimed]",PKS-Fermi,2009,*,0,*,1.001,"(0.4004,0.4004)","sbm+22,ymw17",DM,1.001,4,0.673318,"(0.003181,0.003241)",0.405278,"(0.003031,0.003079)",0.673295,"(0.002248,0.002364)",-1.141022663272169,-1.5058602778065964,*,*,*,*,N,Y,"( 0.718, 0.335, 0.102)","(0.2, 33.9, 412.6, 500.2, 175.6, 14.5, 1172.0)",11.4,4FGL J0101.1-6422,0.3225208906098371,PLSuperExpCutoff4,3746.50537109375,61.0144157409668,903.83447265625,6.588674545288086,0.4341232180595398,0.19990302622318268,1.3031968733312471e-11,4.4204906662209664e-13,0.8747329115867615,0.3070093095302582,1342.5438232421875,73.14873504638672,0.5258162021636963,0.05094710737466812,1562391580418746175091398877904896,"(5.299688435077902e+31,5.299688435077902e+31)","(9.999306114679976e+32,1.4998959172019964e+33)",0.13255913899400124,"(0.00449645367201803,0.00449645367201803)","(0.08483784895616078,0.1272567734342412)"
6,J0102+4839,J0102+4839,1:02:50.66921560,8.916666666666667e-07,48:39:42.76370000,8.308333333333334e-07,15.711121731666669,48.66187880555555,124.87408314710407,-14.166852232298897,337.36912025223,-1.2983822249007295e-15,0.00296,1.17e-20,1.1555419129589411e-20,"(1.176035341517188e-22,1.2163643968840653e-22)",1.7292891899571395e+34,17590180908865804387774650153697280,"(1.790214113440138e+32,1.8516048230138408e+32)",0.9876426606486676,-3.44,0.25,-2.24,0.29,4.105021315413599,0.26254827924893026,Y,*,NRT,4008102867.4184566,188300724.21508327,66837.71231836591,1961101128137457,"(960539328067325.9,3486402005577700.0)",53.5,0.00194866746508562,hrm+11,0.059436649,Extrapolated_1,"[ATNF,NEWMSP,PTC,TIMED,PUB_LATMSP,EDOTD215]",GRS:4FGL_J0102.8+4839[aab+22],Y,RUP,mbr,"(0,0)","[ATNF,LATDetected,4FGL,delDel,PM,Radio,GalaMSPs,PTC,PTC_LAT,CENBGTimed]",GBT-Fermi,2010,*,0,*,2.31,"(0.924,0.924)","hrm+11,ymw17",DM,2.31,2,0.326659,"(0.006983,0.006858)",0.443535,"(0.007175,0.007014)",0.326665,"(0.006614,0.006475)",-1.2484325198393817,-1.2138473229458668,*,*,*,*,N,N,"( 0.220, 0.145, 0.070)","(2.0, 52.3, 355.5, 720.6, 437.2, 24.3, 1577.0)",11.4,4FGL J0102.8+4839,0.15448318759168952,PLSuperExpCutoff4,1917.753662109375,43.543312072753906,1378.0885009765625,2.1840813159942627,0.47910746932029724,0.25387248396873474,1.5017331128630573e-11,7.4541832125255e-13,1.1646068096160889,0.3324965536594391,1700.19091796875,174.9717559814453,0.40717095136642456,0.05491778254508972,9588008764893155675528430746599424,"(4.759219422188456e+32,4.759219422188456e+32)","(6.13632560953162e+33,9.204488414297433e+33)",0.5544479674409343,"(0.02752124658979921,0.02752124658979921)","(0.35484669916219796,0.5322700487432971)"
7,J0106+4855,J0106+4855,01:06:25.066463876578613,*,+48:55:51.587071503931270,*,16.604443599485744,48.93099640875109,125.4651205872214,-13.86705978700254,12.0253965226611,-6.18924541269175e-14,0.083157341058614,4.2799519392877046e-16,4.2799519392877046e-16,*,2.938304808061054e+34,*,*,*,*,0,*,0,*,0,*,*,*,3078184.96049619,190889898595.6255,3055.8067340639736,1453933573760813.5,"(712130730005296.2,2584770797797002.0)",70.87,0.2,pga+12,0.0080000004,pga+12,"[ATNF,TIMED,PUB_LATG,EDOTD215]",GRS:4FGL_J0106.4+4855[aab+22],Y,GU,r,"(54681.0,58044.0)","[ATNF,LATDetected,4FGL,delDel,Radio,CENBGTimed]",*,*,*,0,*,3.063,"(1.2252,1.2252)","pga+12,ymw17",DM,3.063,2,0.057169,"(0.007837,0.007838)",0.486948,"(0.001247,0.000963)",0.057135,"(0.000583,0.00067)",-1.7030776395762242,-1.3808479895200125,*,*,*,*,Y,N,"( 0.130, 0.098, 0.068)","(0.1, 23.5, 724.4, 2397.5, 1656.6, 37.8, 4867.2)",9.1,4FGL J0106.4+4855,0.2859960677968655,PLSuperExpCutoff4,3680.635986328125,60.47266387939453,1577.501953125,2.0584449768066406,1.054548978805542,0.2640079855918884,1.9215004587458395e-11,7.224296031185795e-13,1.2136268615722656,0.19904345273971558,2370.973388671875,112.01356506347656,0.6663375496864319,0.06183093786239624,21569803649410457635147668640497664,"(8.109633603709918e+32,8.109633603709918e+32)","(1.3804674335622694e+34,2.0707011503434042e+34)",0.7340900641157125,"(0.027599701642462855,0.027599701642462855)","(0.4698176410340561,0.7047264615510842)"
8,J0117+5914,B0114+58,01:17:38.6526551,*,+59:14:38.43158,*,19.41105272958333,59.24400877222222,126.28299127576673,-3.4571226014891345,9.858001863838957,-5.681751039918324e-13,0.10144043527402768,5.84661381250262e-15,5.84661381250262e-15,*,2.2112142921306847e+35,*,*,*,-3,5.3,18,5.7,18,6,*,hllk05,*,274877.82490920316,779239501949.4283,6871.987604021128,11971292190055258,"(5863490052271963.0,2.1282297226764904e+16)",49.42068,0.00059,bkk+16,0.30000001,lylg95,"[ATNF,TIMED,PUB_LATR,EDOT35,EDOTD216]",XRS:[pb15],N,R,r,"(46715.305743658053,58457.049236175129479)","[ATNF,LATDetected,delDel,Radio,Polar,CENBGTimed]",*,*,*,0,*,1.768,"(0.7072,0.7072)","bkk+16,ymw17",DM,1.768,*,*,"(*,*)",*,"(*,*)",,"(nan,nan)",*,*,*,*,*,*,,,"(nan, nan, nan)","(0.6, 0.9, 24.9, 6.5, 2.6, 1.8, 29.1)",10.3,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"(*,*)","(*,*)",*,*,*
9,J0139+5814,B0136+57,01:39:19.7401,*,+58:14:31.819,*,24.832250416666668,58.24217194444444,129.2159946373579,-4.044053186573482,3.670306031892083,-1.4417217840818228e-13,0.27245684455486374,1.0702294702505932e-14,1.0702294702505932e-14,*,2.089024217918675e+34,*,*,*,-19.11,0.07,-16.6,0.07,25.31,0.07,*,cbv+09,*,403323.7780056914,1727828041619.886,786.415509464497,1701434275374578.5,"(333812907772658.0,295387895030309.0)",73.81141,0.00076,bkk+16,4.5999999,lylg95,"[ATNF,TIMED,PUB_LATR,EDOTD215]",*,N,R,r,"(54472.744791612593165,58895.256036910566561)","[ATNF,LATDetected,delDel,Radio,Polar,CENBGTimed]",*,*,0.37,0.04,cbv+09,2.6,"(0.20000000000000018,0.2999999999999998)","vwc+12,cbv+09",P,2.006,*,*,"(*,*)",*,"(*,*)",,"(nan,nan)",*,*,*,*,*,*,,,"(nan, nan, nan)","(2.2, 5.0, 14.7, 11.5, 5.8, 1.4, 39.1)",11.4,,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,"(*,*)","(*,*)",*,*,*
