PSR,Edot,Bstar,P,Ecl,Lgamma,Ea,Ecb,E10,Gammas,E0,d,b
J0002+6216,35.17609125905568,12.041392685158225,2.0622058088197126,0.43136376415898736,34.95904139232109,0.82,0.77,8.53,0.3521825181113625,0.11727129565576427,-0.1985962899826449,-0.17587416608345102
J0007+7303,35.653212513775344,13.146128035678238,2.499549625905149,0.696356388733332,35.0,2.33,0.83,25.10,0.2944662261615929,0.3443922736851107,-0.3053948010664313,-0.26760624017703144
J0023+0923,34.079181246047625,8.342422680822207,0.4913616938342727,0.4132997640812518,33.49136169383427,1.28,0.72,9.99,0.26245108973042947,-0.022276394711152253,-0.27164621797877153,-0.17587416608345102
J0030+0451,33.53147891704226,8.477121254719663,0.6901960800285137,0.38381536598043126,32.88081359228079,1.37,0.19,10.10,0.29885307640970665,0.13353890837021754,-0.10568393731556154,-0.2765443279648142
J0034−0534,34.380211241711606,8.079181246047625,0.2787536009528289,0.5634810853944107,33.643452676486184,0.99,1.22,12.10,0.28103336724772754,-0.11918640771920865,-0.48678239993206096,-0.17587416608345102
J0101−6422,33.92427928606188,8.113943352306837,0.414973347970818,0.40312052117581787,33.204119982655925,1.34,0.70,10.00,0.24551266781414982,-0.045757490560675115,-0.27736607746618774,-0.17587416608345102
J0102+4839*,34.25527250510331,8.397940008672037,0.47712125471966244,0.6344772701607315,33.98227123303957,1.70,1.55,17.40,0.28103336724772754,0.13987908640123647,-0.38721614328026455,-0.17587416608345102
J0106+4855,34.462397997898954,11.397940008672037,1.920123326290724,0.45939248775923086,34.3424226808222,2.37,0.85,14.70,0.22788670461367352,0.19865708695442263,-0.17263072694617473,-0.17587416608345102
J0205+6449,37.43136376415899,12.681241237375588,1.8175653695597809,0.8898617212581884,34.89762709129044,L,3.75,L,0.37106786227173627,-0.06550154875643228,-0.7772835288524167,-0.17587416608345102
J0218+4232,35.380211241711606,8.755874855672491,0.36172783601759284,0.6785183790401139,34.75587485567249,0.33,1.81,11.20,0.33845649360460484,-0.08618614761628333,-0.5816987086802545,-0.17587416608345102
J0248+4230,34.579783596616814,8.44715803134222,0.414973347970818,0.2041199826559248,32.89762709129044,1.80,0.35,8.46,0.24054924828259971,0.16136800223497488,0.05690485133647256,-0.17587416608345102
J0248+6021,35.32221929473392,12.672097857935718,2.3366598234544202,0.24303804868629444,34.14612803567824,0.77,0.40,5.83,0.35793484700045375,0.045322978786657475,-0.059981844992336796,-0.17587416608345102
J0251+2606,34.25527250510331,8.278753600952829,0.3979400086720376,0.3521825181113625,32.903089986991944,1.57,0.58,9.94,0.2600713879850748,0.09342168516223506,-0.13312218566250114,-0.17587416608345102
J0312−0921,34.17609125905568,8.556302500767288,0.568201724066995,0.22530928172586284,32.643452676486184,1.53,0.38,7.97,0.23299611039215382,0.06069784035361165,-0.030118356253500032,-0.17587416608345102
J0340+4130,33.88081359228079,8.301029995663981,0.5185139398778874,0.5514499979728752,33.77085201164214,2.91,1.17,19.10,0.20951501454263097,0.22010808804005508,-0.2502636844309389,-0.17587416608345102
J0357+3205,33.77085201164214,12.505149978319906,2.647480773173676,0.08278537031645007,33.69897000433602,0.87,0.23,4.68,0.35793484700045375,0.04139268515822508,0.10037054511756291,-0.17587416608345102
J0437−4715,33.44715803134222,8.57978359661681,0.7634279935629372,0.146128035678238,31.7160033436348,0.70,0.29,4.65,0.2787536009528289,-0.21467016498923297,-0.13548891894160814,-0.17587416608345102
J0514−4408,33.39794000867204,12.041392685158225,2.5055569386638217,-0.06550154875643228,32.79239168949825,0.60,0.14,3.04,0.3096301674258988,-0.20760831050174613,0.07918124604762482,-0.17587416608345102
J0533+6759,33.77085201164214,8.505149978319906,0.6434526764861874,0.557507201905658,33.80617997398389,2.29,1.19,17.10,0.2355284469075489,0.15228834438305647,-0.3010299956639812,-0.17587416608345102
J0534+2200,38.653212513775344,12.707570176097937,1.5237464668115646,0.9268567089496923,35.85733249643127,0.09,3.35,17.80,0.3654879848908996,0.2013971243204515,-0.6252516539898961,-0.21467016498923297
J0540−6919,38.17609125905568,12.81954393554187,1.7041505168397992,0.741151598851785,36.89762709129044,0.02,2.24,8.93,0.3979400086720376,0.1931245983544616,-0.4584207560534191,-0.17587416608345102
J0605+3757,33.968482948553934,8.176091259055681,0.43136376415898736,0.19865708695442263,31.556302500767288,1.95,0.34,8.78,0.22271647114758325,0.17897694729316943,0.07554696139253074,-0.17587416608345102
J0610−2100,32.91381385238372,7.963787827345556,0.5910646070264992,0.3074960379132129,33.963787827345556,1.34,0.50,8.52,0.2576785748691845,0.02530586526477026,-0.13608262304213956,-0.17587416608345102
J0613−0200,34.079181246047625,8.342422680822207,0.4913616938342727,0.5171958979499743,33.44715803134222,1.16,1.04,11.70,0.28330122870354957,-0.01322826573375516,-0.37263414340726736,-0.17587416608345102
J0614−3329,34.3424226808222,8.505149978319906,0.4913616938342727,0.6294095991027189,33.73239375982297,2.51,0.04,26.70,0.2600713879850748,0.26245108973042947,-0.27083521030722996,-0.4329736338409396
J0621+2514,34.690196080028514,8.544068044350276,0.43136376415898736,0.19589965240923377,33.11394335230683,2.69,0.32,10.30,0.20682587603184974,0.33041377334919086,0.19865708695442263,-0.17587416608345102
J0631+0646,35.0,11.929418925714293,2.0453229787866576,0.4329692908744057,34.60205999132796,2.65,0.77,14.90,0.26717172840301384,0.35410843914740087,-0.04239271293990473,-0.17587416608345102
J0631+1036,35.230448921378276,12.869231719730976,2.4590907896005865,0.5502283530550941,34.204119982655925,2.00,1.16,16.00,0.26717172840301384,0.18752072083646307,-0.27083521030722996,-0.17587416608345102
J0633+0632,35.079181246047625,12.81954393554187,2.4733409641859354,0.4983105537896005,34.32221929473392,1.43,0.97,12.30,0.3096301674258988,0.1846914308175988,-0.22040350874217546,-0.17587416608345102
J0633+1746,34.518513939877884,12.342422680822207,2.3749315539781883,0.45178643552429026,34.25527250510331,1.65,0.98,12.10,0.30319605742048883,0.22271647114758325,-0.15428198203334137,-0.15739076038943792
J0659+1414,34.579783596616814,12.792391689498254,2.585347911094591,-0.07572071393811836,32.414973347970815,0.16,0.13,1.55,0.39093510710337914,-0.494850021680094,-0.09745322068600859,-0.17587416608345102
J0729−1448,35.44715803134222,12.857332496431269,2.4008832155483626,0.6551384348113821,33.716003343634796,0.07,1.67,7.81,0.42813479402878885,0.3053513694466238,-0.2967086218813386,-0.17587416608345102
J0740+6620,33.778151250383644,8.146128035678238,0.4623979978989561,0.4712917110589386,32.653212513775344,1.88,0.89,13.40,0.25527250510330607,0.146128035678238,-0.21896306137886817,-0.17587416608345102
J0742−2822,35.14612803567824,12.361727836017593,2.22219604630172,0.5211380837040362,33.863322860120455,0.95,1.05,10.90,0.31386722036915343,0.03342375548694973,-0.34390179798716813,-0.17587416608345102
J0751+1807,33.75587485567249,8.301029995663981,0.5440680443502757,0.3053513694466238,33.17609125905568,2.31,0.50,11.40,0.20951501454263097,0.21484384804769785,-0.007446482167864384,-0.17587416608345102
J0835−4510,36.838849090737256,12.653212513775344,1.9508514588885464,0.6031443726201823,34.93951925261862,1.19,0.34,15.00,0.35024801833416286,0.28103336724772754,-0.24260397120697583,-0.30715308072277
J0908−4913,35.690196080028514,12.230448921378274,2.0285712526925375,0.17609125905568124,33.414973347970815,0.60,0.32,4.57,0.42160392686983106,0.09691001300805642,0.04139268515822508,-0.17587416608345102
J0931−1902,33.0,8.176091259055681,0.6627578316815741,0.004321373782642578,33.380211241711606,1.89,0.12,5.77,0.250420002308894,0.24303804868629444,0.43456890403419873,-0.17587416608345102
J0940−5428,36.27875360095283,12.361727836017593,1.9420080530223132,0.4065401804339551,32.47712125471966,1.23,0.71,9.74,0.31806333496276157,0.14301480025409505,-0.15552282425431863,-0.17587416608345102
J0952−0607,34.82607480270082,8.041392685158225,0.146128035678238,0.17609125905568124,33.944482672150166,1.83,0.32,8.20,0.22271647114758325,0.15228834438305647,0.07918124604762482,-0.17587416608345102
J0955−6150,34.85125834871908,8.361727836017593,0.3010299956639812,0.541579243946581,33.643452676486184,0.84,1.13,10.90,0.3242824552976926,0.04139268515822508,-0.3585258894959005,-0.17587416608345102
J1016−5857,36.414973347970815,12.602059991327963,2.0310042813635367,0.7092699609758307,34.92427928606188,0.79,2.01,15.50,0.36361197989214433,0.3053513694466238,-0.3516399890190684,-0.17587416608345102
J1019−5749,35.27875360095283,12.380211241711606,2.210853365314893,0.7730546933642626,35.591064607026496,0.60,2.50,16.70,0.37474834601010387,0.359835482339888,-0.3777859770337047,-0.17587416608345102
J1023−5746,37.04139268515822,12.94448267215017,2.0472748673841794,0.541579243946581,34.88081359228079,0.62,1.13,9.73,0.43136376415898736,0.4082399653118496,-0.114638779968488,-0.17587416608345102
J1024−0719*,32.662757831681574,8.079181246047625,0.7160033436347992,0.41664050733828095,32.88649072517248,1.66,0.73,11.40,0.25527250510330607,0.09691001300805642,-0.1979107421182673,-0.17587416608345102
J1028−5819,35.919078092376076,12.204119982655925,1.9609461957338314,0.631443769013172,34.77085201164214,0.97,10−5,16.30,0.37474834601010387,0.29885307640970665,-0.2628073572952627,-0.6819366650372385
J1035−6720,34.8750612633917,8.690196080028514,0.4623979978989561,0.3521825181113625,33.68124123737559,1.65,0.59,10.20,0.2600713879850748,0.12057393120584989,-0.11633856484638239,-0.17587416608345102
J1044−5737,35.903089986991944,12.568201724066995,2.143014800254095,0.5538830266438743,34.690196080028514,0.65,1.18,10.10,0.35024801833416286,0.09342168516223506,-0.33818731446273875,-0.17587416608345102
J1048+2339,33.89209460269048,8.612783856719735,0.6720978579357175,0.6608654780038692,33.36172783601759,0.89,1.70,14.50,0.3096301674258988,0.00860017176191757,-0.4989407377822485,-0.17587416608345102
